location,truth_date,yearweek,value
AT,2021-10-24,2021-W42,443
AT,2021-10-17,2021-W41,2
AT,2021-10-17,2021-W41,98
AT,2021-10-17,2021-W41,1
AT,2021-10-17,2021-W41,180
AT,2021-10-17,2021-W41,281
AT,2021-10-10,2021-W40,2
AT,2021-10-10,2021-W40,112
AT,2021-10-10,2021-W40,3
AT,2021-10-10,2021-W40,161
AT,2021-10-10,2021-W40,278
AT,2021-10-03,2021-W39,6
AT,2021-10-03,2021-W39,134
AT,2021-10-03,2021-W39,3
AT,2021-10-03,2021-W39,130
AT,2021-10-03,2021-W39,273
AT,2021-09-26,2021-W38,5
AT,2021-09-26,2021-W38,127
AT,2021-09-26,2021-W38,7
AT,2021-09-26,2021-W38,118
AT,2021-09-26,2021-W38,257
AT,2021-09-19,2021-W37,7
AT,2021-09-19,2021-W37,129
AT,2021-09-19,2021-W37,2
AT,2021-09-19,2021-W37,122
AT,2021-09-19,2021-W37,260
AT,2021-09-12,2021-W36,7
AT,2021-09-12,2021-W36,159
AT,2021-09-12,2021-W36,7
AT,2021-09-12,2021-W36,112
AT,2021-09-12,2021-W36,285
AT,2021-09-05,2021-W35,4
AT,2021-09-05,2021-W35,141
AT,2021-09-05,2021-W35,8
AT,2021-09-05,2021-W35,89
AT,2021-09-05,2021-W35,242
AT,2021-08-29,2021-W34,6
AT,2021-08-29,2021-W34,138
AT,2021-08-29,2021-W34,2
AT,2021-08-29,2021-W34,73
AT,2021-08-29,2021-W34,219
AT,2021-08-22,2021-W33,4
AT,2021-08-22,2021-W33,110
AT,2021-08-22,2021-W33,2
AT,2021-08-22,2021-W33,49
AT,2021-08-22,2021-W33,165
AT,2021-08-15,2021-W32,6
AT,2021-08-15,2021-W32,80
AT,2021-08-15,2021-W32,4
AT,2021-08-15,2021-W32,35
AT,2021-08-15,2021-W32,125
AT,2021-08-08,2021-W31,1
AT,2021-08-08,2021-W31,43
AT,2021-08-08,2021-W31,4
AT,2021-08-08,2021-W31,26
AT,2021-08-08,2021-W31,74
AT,2021-08-01,2021-W30,1
AT,2021-08-01,2021-W30,32
AT,2021-08-01,2021-W30,10
AT,2021-08-01,2021-W30,43
AT,2021-07-25,2021-W29,26
AT,2021-07-25,2021-W29,2
AT,2021-07-25,2021-W29,13
AT,2021-07-25,2021-W29,41
AT,2021-07-18,2021-W28,1
AT,2021-07-18,2021-W28,20
AT,2021-07-18,2021-W28,2
AT,2021-07-18,2021-W28,14
AT,2021-07-18,2021-W28,37
AT,2021-07-11,2021-W27,14
AT,2021-07-11,2021-W27,9
AT,2021-07-11,2021-W27,23
AT,2021-07-04,2021-W26,1
AT,2021-07-04,2021-W26,17
AT,2021-07-04,2021-W26,7
AT,2021-07-04,2021-W26,25
AT,2021-06-27,2021-W25,2
AT,2021-06-27,2021-W25,15
AT,2021-06-27,2021-W25,17
AT,2021-06-27,2021-W25,34
AT,2021-06-20,2021-W24,3
AT,2021-06-20,2021-W24,19
AT,2021-06-20,2021-W24,14
AT,2021-06-20,2021-W24,36
AT,2021-06-13,2021-W23,1
AT,2021-06-13,2021-W23,35
AT,2021-06-13,2021-W23,1
AT,2021-06-13,2021-W23,20
AT,2021-06-13,2021-W23,57
AT,2021-06-06,2021-W22,1
AT,2021-06-06,2021-W22,43
AT,2021-06-06,2021-W22,27
AT,2021-06-06,2021-W22,71
AT,2021-05-30,2021-W21,1
AT,2021-05-30,2021-W21,43
AT,2021-05-30,2021-W21,34
AT,2021-05-30,2021-W21,78
AT,2021-05-23,2021-W20,1
AT,2021-05-23,2021-W20,55
AT,2021-05-23,2021-W20,2
AT,2021-05-23,2021-W20,57
AT,2021-05-23,2021-W20,115
AT,2021-05-16,2021-W19,6
AT,2021-05-16,2021-W19,96
AT,2021-05-16,2021-W19,82
AT,2021-05-16,2021-W19,184
AT,2021-05-09,2021-W18,5
AT,2021-05-09,2021-W18,132
AT,2021-05-09,2021-W18,3
AT,2021-05-09,2021-W18,120
AT,2021-05-09,2021-W18,260
AT,2021-05-02,2021-W17,8
AT,2021-05-02,2021-W17,164
AT,2021-05-02,2021-W17,7
AT,2021-05-02,2021-W17,167
AT,2021-05-02,2021-W17,346
AT,2021-04-25,2021-W16,7
AT,2021-04-25,2021-W16,193
AT,2021-04-25,2021-W16,3
AT,2021-04-25,2021-W16,238
AT,2021-04-25,2021-W16,441
AT,2021-04-18,2021-W15,12
AT,2021-04-18,2021-W15,256
AT,2021-04-18,2021-W15,1
AT,2021-04-18,2021-W15,309
AT,2021-04-18,2021-W15,578
AT,2021-04-11,2021-W14,13
AT,2021-04-11,2021-W14,252
AT,2021-04-11,2021-W14,10
AT,2021-04-11,2021-W14,336
AT,2021-04-11,2021-W14,611
AT,2021-04-04,2021-W13,12
AT,2021-04-04,2021-W13,266
AT,2021-04-04,2021-W13,10
AT,2021-04-04,2021-W13,383
AT,2021-04-04,2021-W13,671
AT,2021-03-28,2021-W12,6
AT,2021-03-28,2021-W12,291
AT,2021-03-28,2021-W12,6
AT,2021-03-28,2021-W12,378
AT,2021-03-28,2021-W12,681
AT,2021-03-21,2021-W11,10
AT,2021-03-21,2021-W11,277
AT,2021-03-21,2021-W11,12
AT,2021-03-21,2021-W11,399
AT,2021-03-21,2021-W11,698
AT,2021-03-14,2021-W10,10
AT,2021-03-14,2021-W10,262
AT,2021-03-14,2021-W10,7
AT,2021-03-14,2021-W10,336
AT,2021-03-14,2021-W10,615
AT,2021-03-07,2021-W09,1
AT,2021-03-07,2021-W09,208
AT,2021-03-07,2021-W09,6
AT,2021-03-07,2021-W09,316
AT,2021-03-07,2021-W09,531
AT,2021-02-28,2021-W08,3
AT,2021-02-28,2021-W08,175
AT,2021-02-28,2021-W08,2
AT,2021-02-28,2021-W08,260
AT,2021-02-28,2021-W08,440
AT,2021-02-21,2021-W07,6
AT,2021-02-21,2021-W07,153
AT,2021-02-21,2021-W07,4
AT,2021-02-21,2021-W07,246
AT,2021-02-21,2021-W07,409
AT,2021-02-14,2021-W06,3
AT,2021-02-14,2021-W06,136
AT,2021-02-14,2021-W06,1
AT,2021-02-14,2021-W06,256
AT,2021-02-14,2021-W06,396
AT,2021-02-07,2021-W05,6
AT,2021-02-07,2021-W05,151
AT,2021-02-07,2021-W05,285
AT,2021-02-07,2021-W05,442
AT,2021-01-31,2021-W04,8
AT,2021-01-31,2021-W04,150
AT,2021-01-31,2021-W04,5
AT,2021-01-31,2021-W04,375
AT,2021-01-31,2021-W04,538
AT,2021-01-24,2021-W03,4
AT,2021-01-24,2021-W03,170
AT,2021-01-24,2021-W03,1
AT,2021-01-24,2021-W03,384
AT,2021-01-24,2021-W03,559
AT,2021-01-17,2021-W02,6
AT,2021-01-17,2021-W02,164
AT,2021-01-17,2021-W02,3
AT,2021-01-17,2021-W02,433
AT,2021-01-17,2021-W02,606
AT,2021-01-10,2021-W01,4
AT,2021-01-10,2021-W01,204
AT,2021-01-10,2021-W01,2
AT,2021-01-10,2021-W01,492
AT,2021-01-10,2021-W01,702
AT,2021-01-10,2020-W53,3
AT,2021-01-10,2020-W53,200
AT,2021-01-10,2020-W53,6
AT,2021-01-10,2020-W53,484
AT,2021-01-10,2020-W53,693
AT,2021-01-03,2020-W52,189
AT,2021-01-03,2020-W52,3
AT,2021-01-03,2020-W52,478
AT,2021-01-03,2020-W52,670
AT,2020-12-27,2020-W51,6
AT,2020-12-27,2020-W51,196
AT,2020-12-27,2020-W51,5
AT,2020-12-27,2020-W51,569
AT,2020-12-27,2020-W51,776
AT,2020-12-20,2020-W50,3
AT,2020-12-20,2020-W50,276
AT,2020-12-20,2020-W50,1
AT,2020-12-20,2020-W50,771
AT,2020-12-20,2020-W50,1051
AT,2020-12-13,2020-W49,2
AT,2020-12-13,2020-W49,305
AT,2020-12-13,2020-W49,4
AT,2020-12-13,2020-W49,859
AT,2020-12-13,2020-W49,1170
AT,2020-12-06,2020-W48,9
AT,2020-12-06,2020-W48,351
AT,2020-12-06,2020-W48,10
AT,2020-12-06,2020-W48,884
AT,2020-12-06,2020-W48,1254
AT,2020-11-29,2020-W47,8
AT,2020-11-29,2020-W47,379
AT,2020-11-29,2020-W47,8
AT,2020-11-29,2020-W47,1037
AT,2020-11-29,2020-W47,1432
AT,2020-11-22,2020-W46,6
AT,2020-11-22,2020-W46,438
AT,2020-11-22,2020-W46,9
AT,2020-11-22,2020-W46,999
AT,2020-11-22,2020-W46,1452
AT,2020-11-15,2020-W45,2
AT,2020-11-15,2020-W45,374
AT,2020-11-15,2020-W45,6
AT,2020-11-15,2020-W45,825
AT,2020-11-15,2020-W45,1207
AT,2020-11-08,2020-W44,6
AT,2020-11-08,2020-W44,236
AT,2020-11-08,2020-W44,3
AT,2020-11-08,2020-W44,516
AT,2020-11-08,2020-W44,761
AT,2020-11-01,2020-W43,5
AT,2020-11-01,2020-W43,156
AT,2020-11-01,2020-W43,2
AT,2020-11-01,2020-W43,374
AT,2020-11-01,2020-W43,537
AT,2020-10-25,2020-W42,2
AT,2020-10-25,2020-W42,107
AT,2020-10-25,2020-W42,3
AT,2020-10-25,2020-W42,198
AT,2020-10-25,2020-W42,310
AT,2020-10-18,2020-W41,76
AT,2020-10-18,2020-W41,2
AT,2020-10-18,2020-W41,133
AT,2020-10-18,2020-W41,211
AT,2020-10-11,2020-W40,2
AT,2020-10-11,2020-W40,74
